sentiment,content
other,finally internet server phoenix fuck
neutral,up ketauan cabut nih gimana dong
worry,harishk krist0ph3r saurabh sorry guy drop trip personal commitments
sadness,get callback play cry oh well guess back techie
happiness,uniquemakis awesome wish could fly see
sadness,lunafactor kind wish go fall asleep
other,nawid nope het lose find
worry,rocky cola diner whittier tonight teacher pal mr b great time chat one else come
neutral,bed still exhaust vegas
love,heresmyhello92 lol true maybe next year loooved siggy remember password mod thing cake
worry,ummm sooo yeh really hard concentrate rite wen weird lupus feel goin thro body
worry,charleyboorman http twitpiccom65623 ouch look painful
neutral,take four hour nap work today able sleep night bummer
other,jetwolf know enjoy watch two twitter entertain comic miss
neutral,love lil ken absolutely dread say goodbye less week
sadness,dakshinamurti yet sorry
worry,want sit back relax little difficult
worry,zhenerak think best friend
neutral,hii isi12mee wake go school
sadness,fall asleep know feel lol drag hell tonight quite excite
worry,god even catch public transport swine flu shit house
worry,dad say trip uk cancel due da swine flu ooops sorry abang
neutral,ask karma point please http plurkcompwxnt9
love,hahaha alright
other,guitar21g jackie_hussein wake earlier think dad want take food 9am no0o0o0o
happiness,someone take la need see lemon tree
sadness,um think text msgs subject line fail
sadness,tummy ache
other,math quiz meow allergies meow allergies
love,want see friends http plurkcompwxnwa
worry,goddessfleur far away know
neutral,la say wipe slate clean jelly
happiness,hiracdelest one always work oh yeah still
neutral,seanpercival unless invite come beta key go much help
neutral,johnny_exp live
sadness,askegg sorry andrew wish something could
sadness,finsh work eleven even allowd cauz really want lol
other,anybody sooo bore
sadness,amandamallard chaseton either please die heart really sad
happiness,interest show say least recap tomorrow first must sleep work
worry,omgjoker feel like hot box matter go still feel like hot box ice cream work n e
worry,sad please get better grandma
worry,aannniieee uuuugh hate everything
worry,gosh today weather horriterrible extreme hotness lose lot water weight nothing http tweetsg
worry,take moment reflect want annonymity back fb safe say anything someone else another friend
other,pastorpeterko hey peter thank follow many sydney pastors tweet shame bris pastors twitter behind
neutral,sha_da_asshole i12 sister house i12net tonite
neutral,damn hi facebook wrong add photos
other,aku kbangun gara2 mimpi manyolitha bad dream
neutral,four followers follow love pout please
worry,alyssainescruz aww annoy
neutral,textdrivebys even wii b like xbox use
sadness,sleep darn frustrate
neutral,thunder_express get see tonight
other,bff rock hotel california nkotb songs do stay next hmmm careless whisper
sadness,stormyamorette one days loneliness creep slap face
sadness,rip kelly fucccccck
worry,rockedbypickler well vacation let us go
worry,think ignore best friend jake hate ignore b know things go
love,anna_viola love way end time go week sooooo sorry next week sure
neutral,2nd last episode jay leno never nite twitter
sadness,feel good
sadness,ok time nodd go long day tomorrow say goodbye car good
neutral,fakin kisha luck
worry,take nap workno sleep right nap felt soooo good seem like bad idea
worry,go home seriously enough
other,count minutes dad gfriend leave
sadness,miss oklahomaaaaa listen citizen cope til pass
neutral,tense emotional
other,leopardqueen seekinspiration fun miss guy lot
worry,skyduke478 make sad
neutral,play game watch straight people hook leave another reason
neutral,daveg38 yeah work today never mind one day sun sun sun
worry,feel like go cough lung
sadness,funny kind sad last day
neutral,heresmyhello92 think either remember
neutral,anyone get jbs live chat vid school saw joe hug tackle nick lol
sadness,jenny fell asleep come
worry,thedailysurvey love
sadness,wish tease movie night
worry,lose four followers night nobody like
sadness,johneast miss one year forbid fruit tree garden munch disappointment one
worry,want new phone see much cellphone commercials
worry,anime81 soo sad edge page go come cry
worry,time really need shut go sleep head ache badly really take
sadness,ivanae love knw gna cut stuff tv
neutral,soonseeofpred becuz braggin
sadness,joannaangel strict diet ugh feel like cheat one day ill throw everything
worry,oh hubs sick hope catch
neutral,lawikyn ze franz friended think think creepy stalker sommat hmph
other,take back horrible shoe mum make get urgggh nasty footwear problem find shoe
worry,run money r sad panda
neutral,find today first kiss
sadness,cal dachshund rescue find home foster pup max soooooo sad see leave
sadness,wow feel like ish really feel bad ignorent aholes overturn prop eight
sadness,work finish 9pm booooo
sadness,wish tease movie night
worry,ritikakar http bitly179jxs get wiat till next week btw mumbai
neutral,know tire today bye time beddy
other,intentando intentarlo
sadness,maybe take drink feel massive hangover still yself today
worry,really bad head ache go go bed might back maybe bye bye
worry,friends traveller tales hold farewell party kind disappoint would still september fault
other,night five talk victor bore night grrrr hate shit
other,go die tomorrow night emilazy
neutral,syafique ooh maggi goreng yums eat sore throat cmin
other,go get try catch z high school tomorrow really suck wish grow
neutral,curligirl morning hon breakfast decide
sadness,sleep lose voice couple day ago
neutral,mention bf bubble wsop employees event twelve hrs aa work double next six weeks
sadness,sleepy earlier get see matt
love,big day 2day xt launch amaze much free stuff thanx two edge telecom find phone want cnt afford yet tho
worry,bethbabe4 oh yeah poorest person joke poor people
sadness,realize spell adorable wrong tweet mindykaling must hate
neutral,delloutletuk go
worry,janesas_mommy oh well hope get better
worry,jordskkk crew please think could wrong number time
sadness,glow face complexion always pale
sadness,downloadfestival lineup good think awesome band festivals miss dl
worry,watch gossip girl ageeees need one tree hill season three god slow
other,colstewart cycle tho good healthy eat healthy eat contradiction term
other,sooo kind sick n tire bs guy dish
love,daveockun hate fleetwood favorite band jealous ok still love haha
other,wish carlton game live stupid channel seven lol
worry,early tomorrow head bed keep say go take midday nap happen week yet
neutral,up ketauan cabut sama gemamalove chikachilo nih
other,say morning everyone work ten min http plurkcompwxom8
love,bt gamer like two years make attempt lol yea luvd f1 extent yellowshirts
neutral,4pm friday leave 6am thursday surely
worry,imjustlalayone sorry ya get let know book week
happiness,sashairene hahaha oh man please come pomona would love see everyday instead like year
worry,letsgeticecream miss come michigan like wait till july
neutral,talentdmrripley maybe good night sleep everyone
worry,farrrrr pdhpe assignment due next week english homework
worry,forget access card cari12too lazy fetch
neutral,_erica yea tough keep go sometimes sure worth
other,briannabanshee dissapointment hhaha
worry,4evaafanofpaula hun okay see alot post exercise like mad eat sleep
sadness,oh tweetdeck malfunction il web fixd
sadness,electrax sorry still sick know know guess pelzer present
sadness,maliciousmandy1 adam samberg new moon trailor good even bad cable friday
worry,carrotmadman6 happen afraid miss large part story
neutral,work 545am
neutral,anthothemantho hell yes late
worry,dell fx100 pcoverip audio device teradici give hard time linux ubuntu jaunty kernel load sndhdaintel drv
sadness,get ass kick tripoly lol get bad card suck
other,creep ice cream social good time lars real girl sad movie
worry,sooo hot hufff
worry,closeness distance closeness everything seem distant
sadness,annnnnnddd another one bite dust
worry,ahhhhh let right one dvd break
other,drewseeley hey love acs see online yet wait buy look amaze
worry,hisheidi thoughts dwell certain person
worry,fml work uniform wash line
worry,ohh shit realize still talk b like dat time
sadness,42nd write fuck get less ideas every day every day
worry,melissalynnette naw match lol shenanigans discuss thing
worry,mayora part unfortunately
worry,soverpeck dude know personal experience sorry something like go
worry,a_lay aww well randomly wake sleep many things mind
worry,donperignon baby miss
neutral,ddlovato since obviously live alaska radio station get
other,murder two fuck mouse sleep
neutral,oh noes hey tatoo say
neutral,astynes vcr
sadness,hammett wish could time xbox project tie
worry,pancakes always end soggy
worry,four big zongzi lunch eat work morework less eat wh useless become
other,sososo bum like really bum hate rain ruin date
